pH,Hardness,Solids,Chloramines,Sulfate,Conductivity,Turbidity
7.7451,262.2689,4737.5395,5.0824,190.8735,558.0555,4.9185
6.7926,155.9051,13116.9199,4.295,229.5255,429.7476,5.2881
7.9715,134.5441,16691.1557,3.8328,204.6352,480.2734,4.5984
9.2845,199.73,35101.5013,7.826,236.1603,427.9861,1.669
6.6488,186.3852,24452.425,6.5719,262.868,366.6133,3.8135
6.6488,163.7418,9316.1474,7.7588,346.9724,240.6467,2.6132
9.3688,255.711,23888.2903,8.3809,254.3073,436.4365,3.7569
8.1512,276.4244,7621.5681,7.5312,153.1499,357.9515,5.176
6.2958,207.0726,28661.5284,8.3155,371.2054,355.9732,4.3662
7.8138,318.2024,16231.0028,6.8609,213.0328,380.081,5.3777
6.3049,108.6649,19250.9105,4.626,275.3024,559.5889,4.4101
6.3014,184.5072,30606.3732,9.1156,315.7229,612.387,2.442
7.3629,142.6542,9702.6915,5.8218,295.9688,437.3766,1.0
4.1301,50.6771,8823.0545,5.1288,367.5344,382.8186,4.1786
4.4126,193.3855,15331.2054,6.6442,318.3203,325.8219,3.7433
6.1566,190.2602,28307.0308,5.1744,211.0952,457.4832,2.8277
5.4808,321.076,7845.2314,6.1651,454.285,562.6324,1.9592
7.4714,250.4649,500.0,7.6881,295.5467,400.2128,3.1183
5.638,118.0651,16390.7291,7.6967,268.2128,229.6803,3.7666
4.8815,348.3274,24413.9264,5.2043,357.114,473.604,4.7991
9.1985,297.6827,29602.094,6.0246,299.9561,498.832,4.2264
6.6613,246.5678,16294.7091,9.1487,311.9383,293.1323,5.9297
7.1013,181.8813,16708.5871,7.9928,479.3747,434.1187,2.7573
4.8629,123.2449,29231.2059,11.1501,257.9903,456.0981,5.0573
6.1834,170.2235,5042.0664,9.3603,254.5791,414.1514,4.0568
7.1664,287.0999,16891.8338,9.2886,289.3263,356.7383,4.8336
5.2735,350.7669,21523.3911,4.2243,365.7213,501.275,3.4762
7.5635,323.4595,23593.7498,8.5277,159.4773,387.7296,5.286
6.099,160.892,15921.5465,6.8938,122.7555,301.1851,4.3543
6.5625,110.4306,20275.5281,5.898,233.0308,256.042,3.1847
6.0974,211.2709,500.0,7.336,149.2862,520.868,3.9856
9.7784,58.5249,14734.0127,8.8904,246.0135,469.3331,3.7125
6.9798,225.8534,23628.0697,8.0017,320.2,427.0379,4.587
5.4134,188.1918,12141.6477,5.2431,208.7401,384.778,2.5843
8.2338,162.7171,20471.8738,8.4849,165.8539,377.6801,3.9648
5.1687,72.4238,23574.98,5.7248,285.547,333.9411,4.4744
7.3133,241.088,17259.6064,7.4334,349.0035,385.4835,4.0396
4.0605,157.3839,21363.7102,6.3933,144.4021,250.393,5.6163
5.0077,106.4067,12298.1395,6.5623,345.6186,361.1149,4.9288
7.2953,50.0,18347.1098,8.5325,345.3845,395.125,3.991
8.1077,197.7988,24881.7294,4.9196,356.3268,468.7904,4.26
7.2571,341.7801,21255.7837,10.8904,377.4784,416.8059,4.3548
6.8265,332.9007,15307.7498,3.3578,456.1611,483.5938,4.484
6.5483,163.4323,21793.7312,5.8047,251.5126,527.9308,1.8092
4.7822,151.823,25716.8783,7.7404,288.7657,504.6536,3.6382
5.9202,237.5019,3600.4698,8.1686,246.6849,457.6408,2.2187
6.309,120.1292,29272.5925,6.799,280.1581,420.949,5.5339
8.5857,224.1434,17309.9621,6.8852,402.6299,341.537,3.927
7.5154,261.2864,23403.9195,7.8211,172.3988,479.1955,3.768
4.3554,298.1547,29577.9754,6.5379,211.116,554.3798,5.0762
7.4861,191.9877,9026.6104,9.7864,390.1745,447.3685,4.5068
6.4224,183.7061,14324.472,8.6787,361.6029,573.3807,2.6456
5.9846,129.7614,17691.6104,8.7456,250.9495,297.9543,3.9149
7.9175,133.8496,13729.9718,5.0677,348.3522,327.6669,3.5978
8.5465,181.8817,33879.4926,6.8412,307.2973,488.4161,1.9066
8.3969,229.3892,13145.8232,6.3991,400.022,441.1432,3.1717
5.7412,273.0868,15555.6258,4.9888,285.9608,525.1026,3.7798
6.5362,135.7457,21635.1123,7.7203,362.0506,418.7623,3.8621
7.4969,319.4151,10382.8038,5.9247,480.0,350.562,2.2213
8.4633,178.3101,16834.5543,8.3108,327.8479,402.9125,5.382
6.2812,198.2906,22539.6261,4.8596,283.9463,297.3853,3.8775
6.7215,140.2231,17337.1168,10.4381,337.7958,329.7127,4.0451
5.3405,50.0,19252.9051,5.2073,250.7775,497.7955,4.4808
5.2057,270.7236,15765.3431,7.4386,471.0374,489.823,3.0543
8.2188,258.9475,7884.2375,8.5837,294.4057,449.0403,4.5476
9.0344,177.4938,22572.7457,5.8587,258.1653,282.3138,3.5595
6.892,205.3593,34039.4646,8.7049,213.1449,391.3277,2.9241
8.5053,241.2751,20147.213,4.5416,367.7776,322.0,4.6881
7.5425,74.9963,21802.1129,9.9042,349.375,514.1227,5.79
6.0323,157.6758,25541.782,7.0283,240.2117,373.3022,4.8698
7.5421,263.5412,9845.356,5.8072,326.1161,333.1402,5.1076
9.3071,99.6568,33620.1173,6.4016,159.3155,422.3837,3.3752
6.9463,223.4846,21618.6304,8.6178,294.7976,368.7876,2.0829
9.347,91.4735,33054.8552,5.8311,316.2205,538.6995,5.7882
4.0,237.3144,14135.736,5.5013,416.5864,361.2151,6.4654
8.2329,197.1487,34544.4954,6.5569,218.3345,308.0617,5.8514
7.1306,70.7895,26201.244,4.6461,177.7318,247.7669,3.5971
6.5515,293.1791,24424.3207,10.6411,208.3658,417.5371,2.6144
7.1376,141.2327,21872.1956,5.8672,173.0745,375.0456,2.7212
4.0186,135.1798,18011.7711,8.6632,386.9326,305.6876,1.9795
6.6705,216.0455,29604.2533,7.4189,403.8911,515.1381,3.8711
7.5357,291.891,21122.879,5.0309,305.6173,473.3796,5.9268
9.2168,118.7343,4263.4424,6.9881,377.7036,417.7426,3.83
6.2226,204.9344,11062.5083,8.568,290.7167,529.1461,4.3628
5.7873,234.3053,18513.234,6.6235,272.3911,473.0029,5.6507
6.2474,255.4484,22479.9919,9.3862,253.357,354.1715,3.5151
8.3731,214.1153,19547.2921,9.043,255.1687,336.8624,6.4426
7.4931,170.6378,29751.7663,8.8378,156.1759,485.4385,6.3905
6.2054,133.7928,4391.1851,6.0807,301.1404,451.7094,3.8427
7.7699,206.8915,21148.7035,4.8403,276.7733,433.5798,3.307
7.1456,114.2289,5456.1662,5.7728,339.6289,352.2802,4.8367
8.453,50.0,26077.6984,7.3925,287.4819,468.6358,3.583
5.9469,234.9248,19244.3303,8.0916,266.9837,359.5601,2.6121
6.5085,272.3148,23356.8798,2.6569,210.3046,411.8411,5.5375
6.4118,50.0,13088.9363,6.9838,285.7723,535.7555,5.4597
4.8047,119.2215,30235.7195,7.3162,339.059,367.1333,4.1866
7.4442,249.5323,28333.7973,6.4449,188.5329,294.1609,2.4846
7.3916,364.5996,24668.3544,9.5825,286.9979,335.7962,2.5246
7.0077,201.6635,18963.862,7.8436,298.6434,499.5439,4.1287
6.6481,141.7598,24638.8583,9.6204,222.5548,440.3785,3.4002
4.8769,185.3683,14344.8595,6.5681,232.9715,409.6898,3.5907
6.369,309.9901,26844.4453,8.875,298.4489,379.2725,5.2264
6.4859,148.3229,33195.8472,10.2701,189.3263,458.8288,4.8798
5.7966,136.0646,28564.8845,9.6234,307.9939,352.0716,5.6538
6.7581,161.3805,14163.1802,4.8157,208.3717,444.4532,2.8113
7.6061,123.7337,22891.3385,6.4926,365.0283,361.4996,3.5882
9.8293,209.8136,9654.8676,6.3097,467.0262,348.1872,4.9108
7.2619,329.9743,24579.1225,7.9785,211.1395,369.001,4.5377
7.3863,225.8463,23604.8273,8.3727,322.7366,389.9674,5.8389
6.8883,179.8117,5041.4693,5.3222,221.8606,416.0936,4.5046
4.1218,176.6551,10705.7292,7.1357,363.2763,438.8365,6.2177
6.9602,74.9447,17734.8888,2.9601,178.7793,200.0,4.648
7.0903,270.6488,17593.122,9.8839,318.4469,355.388,5.2746
10.6949,193.773,10324.1845,5.9753,210.1609,388.6744,3.6118
6.7115,185.5616,23111.8298,7.1117,263.4412,540.405,4.0171
7.4523,450.0,22011.7889,6.3807,197.518,333.5998,5.0931
6.9479,223.9002,18445.8469,9.2921,345.788,433.0237,5.9356
5.247,139.8567,13953.668,1.325,213.0416,539.6024,4.8751
8.7142,165.8914,28389.657,6.9668,324.1571,314.9625,3.9002
8.1279,291.8757,33243.2569,6.7884,252.4722,451.518,5.6528
8.1865,209.0616,16131.5081,6.0927,270.8422,355.8183,1.3696
5.6359,84.9378,15102.6647,10.4525,291.8205,379.6293,2.2933
9.1042,273.5383,23929.6613,5.2253,219.054,355.7511,4.818
4.8972,146.5485,17135.765,8.5436,296.8294,361.4514,4.0169
7.8803,349.8638,18884.8224,7.7125,402.4268,637.753,4.7266
10.2857,286.4038,25917.2252,9.523,217.7524,487.5565,4.0773
5.5142,164.2142,4725.1513,5.6656,373.7448,508.139,4.6851
6.1506,302.4813,30546.4186,5.5341,399.8478,459.3595,3.0227
7.1495,205.4284,20581.4442,9.1921,214.7076,291.4995,4.6846
6.2448,268.2219,16708.0548,7.8506,163.5956,451.5966,5.1933
4.674,238.7786,19286.1268,3.9101,304.1569,505.8344,5.4647
7.1028,132.2915,19699.4348,5.9214,236.2074,351.728,6.4163
5.4065,148.516,6150.3896,7.7728,429.4883,497.2261,4.2929
7.7104,282.3969,31959.5058,8.6755,282.7846,476.3469,4.3287
5.6209,173.218,20330.6051,5.6415,215.824,568.1632,2.1722
9.3249,167.7081,23544.017,1.1715,188.2272,386.5774,3.3623
5.8251,123.5902,27612.3982,8.0464,367.1924,332.1911,3.7683
6.5169,233.8879,11830.7003,4.5594,234.3053,391.0698,5.2604
8.2203,365.002,23787.7752,2.9653,283.5063,534.8457,3.2668
5.1537,114.5974,17858.8713,1.3353,356.4642,273.7275,4.9556
7.3412,201.9376,26774.1662,8.628,241.2593,254.5299,3.9981
8.9607,312.9776,2982.1806,7.2572,276.3257,427.1516,3.7874
4.5888,193.6287,19207.2456,6.5487,278.6745,384.5929,4.2987
7.277,236.1897,15177.4348,9.778,334.666,420.6182,3.5306
7.3898,115.0085,23458.1036,8.2746,327.2595,495.6249,3.4852
8.1727,234.2646,23760.3535,10.2326,262.3909,375.7945,1.9543
5.1446,185.0285,14338.9928,4.2145,285.0919,270.1595,3.7025
5.0193,278.8584,14302.6091,6.9309,250.2577,583.5585,3.424
7.7829,294.9909,19114.6771,3.7666,161.791,340.2217,3.3808
7.4455,407.1651,12826.8622,6.5412,300.6081,335.277,4.5002
7.3757,246.3707,26735.8696,6.5028,431.3753,508.2976,4.7904
7.5197,226.0637,17046.3424,8.2532,209.3025,389.2409,4.2786
5.98,215.5507,500.0,7.0911,218.1576,414.9288,5.1945
7.3484,171.7467,17001.4235,8.2468,210.3418,458.6232,4.6907
7.4396,227.0787,11691.6494,8.4069,337.9673,506.6866,3.6459
5.9285,176.3679,6949.7935,11.3099,315.8788,393.3231,3.4446
9.7987,213.4769,10100.5869,6.3694,267.317,541.5962,4.3754
7.7107,305.4078,20875.2678,5.118,206.5585,249.136,4.6885
5.213,119.4766,30629.1266,7.4922,287.3901,480.783,5.6774
7.9848,291.1903,22505.4758,5.3954,154.8302,352.8378,5.4294
5.538,305.3692,15147.9729,9.9639,291.4741,529.7817,3.3502
8.1806,190.5545,23647.2336,6.4336,349.722,431.3636,3.8776
8.7379,50.0,16327.2775,5.8688,179.9041,366.1676,4.8052
5.769,151.3742,14443.197,6.0574,157.3985,473.0273,5.2816
8.4451,303.7596,10765.0987,8.4368,406.355,491.4551,5.1268
7.6192,198.1706,5985.3695,6.6845,231.0592,471.3515,3.9233
8.2331,120.0558,16880.6103,5.7167,370.8758,337.6243,2.4952
9.8452,159.618,21264.4279,10.3307,267.6802,381.2786,2.8013
6.6319,267.2496,19227.0106,5.2877,267.0436,419.6742,4.3272
5.8694,243.7387,16672.2646,7.0711,315.073,416.6992,4.4107
5.6657,180.8854,12434.0315,8.3046,209.2801,479.9796,2.6816
5.7763,170.654,24865.9695,3.7373,290.5998,258.8079,4.0535
6.8843,168.6593,9462.9446,7.9605,249.4808,446.7462,4.7575
7.5117,126.2072,26208.2233,4.8898,174.3605,396.8015,2.6185
7.415,329.2301,11982.2638,8.6456,306.9986,352.92,5.326
8.2408,174.2144,13980.5181,5.0747,258.9354,360.6011,3.547
7.0195,297.3727,8265.7185,8.3855,267.438,402.837,5.5091
9.1803,321.7053,15988.7828,9.2117,183.1871,200.0,3.3599
6.603,279.8649,27802.4997,8.7229,407.312,363.8968,2.768
11.0803,165.4704,24125.0247,7.5026,350.1371,349.9348,3.4502
7.9385,232.2984,27827.3769,6.5374,357.1325,462.6227,3.8858
5.7143,198.0644,24177.1404,5.8472,255.5644,355.5579,3.5338
5.3937,127.7039,11170.6414,9.9421,141.6654,402.7909,3.7408
7.7237,225.9487,17353.6862,5.601,436.2334,543.3821,4.4008
6.6648,105.6768,13758.407,4.9259,275.1122,499.5481,3.7946
8.071,295.0144,30644.5992,8.3307,220.096,492.1817,3.9207
7.7099,162.8306,10425.6908,5.4077,313.3441,380.0102,1.9489
6.8908,216.0928,27149.5815,5.0999,373.3697,463.4426,4.47
5.7298,222.663,27143.631,4.1128,278.156,401.2882,3.893
4.7277,179.2876,34636.9616,6.0342,382.286,404.3125,5.9324
6.3302,246.9355,16722.5073,6.8346,366.64,452.7748,2.8725
8.2846,162.0077,25698.5773,7.4862,193.8895,372.2405,1.83
7.3211,269.7038,38253.2147,8.9026,226.0968,539.4402,4.7417
5.1314,92.3216,15058.8666,8.0538,356.603,407.1896,4.4158
7.2598,210.1104,7719.678,6.6183,100.0,469.4688,2.7899
7.578,355.1143,4959.9197,6.6036,268.0435,536.448,2.1643
5.6742,119.9735,25701.6962,8.0203,165.5335,502.5323,5.8449
7.2306,145.7804,4934.7983,9.5451,241.8757,307.2865,5.6969
7.0873,241.1126,17021.4476,7.2526,256.0944,455.5917,1.0151
5.2855,214.3665,23498.5055,6.0617,251.3404,488.0576,3.4501
7.5367,228.0504,21481.4043,5.0143,235.8191,491.349,5.997
7.8412,239.135,23403.5589,4.1096,192.2285,330.9364,3.4287
8.6246,250.7777,21778.3188,8.3325,463.3529,367.4372,3.4113
8.5807,288.776,30230.9265,8.156,429.397,499.5647,3.6607
4.9335,232.7855,12381.469,8.1547,187.0347,359.0592,2.6549
5.5933,180.6994,14584.0389,6.7427,406.5693,396.0243,1.9543
7.7726,253.8059,13818.7244,9.8139,248.0428,546.0701,5.2631
7.7707,351.9906,26641.5345,6.0318,290.335,416.1761,1.7885
7.7726,189.3893,27203.1887,8.9105,274.9381,361.8581,4.2967
12.0,122.0377,23609.8026,6.9225,227.2201,349.7906,5.0639
7.8563,288.5665,29467.9493,5.7833,358.7082,446.6175,2.2585
8.7033,190.3695,10575.6731,8.1851,290.0709,313.3482,2.8909
8.431,50.0,33337.7929,7.8193,241.8759,400.2131,5.4558
7.9771,267.7937,32185.909,7.7139,175.6328,446.6584,4.6395
6.5271,157.1737,25884.976,7.1626,208.5124,523.932,3.2593
8.1385,192.7573,34254.3913,6.9242,148.6896,473.4038,5.4427
5.8408,226.5584,6747.0143,11.7767,280.9779,362.8748,5.4478
6.6448,215.24,15804.4149,9.3685,184.2668,514.2735,4.3229
6.272,256.7561,14117.5723,8.4457,258.7552,396.0388,2.9198
7.1228,165.1611,25771.8346,7.2236,389.6081,321.1438,3.5039
10.472,241.0485,11598.8741,9.0143,375.944,406.2367,4.3437
4.1991,179.2363,26059.9612,8.036,277.4178,535.0535,3.7737
8.0294,259.1048,30964.2892,7.0524,273.0332,433.2192,5.1267
4.5809,249.2294,25561.6232,6.3929,430.39,421.0017,2.1643
6.2921,125.1649,22270.0082,6.8382,321.6605,550.9769,2.2069
8.6334,286.8786,12097.0133,1.0,253.7755,305.4916,4.217
7.0964,157.1229,13225.1923,7.4212,165.9186,317.1521,3.4101
5.3834,264.6446,29996.9512,6.023,311.5099,290.7323,3.2475
5.927,229.383,26234.792,10.1853,346.3459,449.8119,1.8783
8.0194,347.0547,19687.8438,7.0387,229.4679,433.3195,4.0235
5.9045,182.1227,16656.7236,4.6221,303.2962,543.4189,3.9367
7.3247,172.0547,3793.537,6.9002,250.9141,439.478,4.7842
7.0684,198.4464,11433.1807,4.9078,265.2774,387.6674,4.0827
6.0226,175.7456,35291.3527,7.9468,100.0,420.1436,3.8409
10.2159,263.9954,9756.3554,7.5819,262.2575,429.4166,5.4124
7.9509,70.6952,21515.8386,8.9157,357.5495,286.2591,2.425
4.0,115.7054,28059.5518,5.4182,229.4878,636.8265,4.6437
7.2797,114.5758,9960.6187,7.068,284.2021,461.5897,1.9946
6.0073,276.0246,21477.6838,4.27,219.5239,436.8007,2.994
8.2787,336.8491,27503.3243,8.403,308.8353,469.2131,2.5448
5.8112,191.6441,20099.9946,8.0377,262.6781,476.7529,4.9383
6.8279,186.4943,42947.2244,7.9916,204.8607,408.7557,3.9215
7.7575,205.6042,6651.2059,7.0032,386.6041,369.5007,3.9838
8.2986,292.9503,28469.8282,7.8295,354.3146,467.9561,2.6719
5.1996,125.8117,18617.5861,10.2087,231.6075,450.8569,3.6404
6.4982,219.0695,26175.3612,6.4298,319.8231,355.2088,3.0838
6.2876,278.0158,23530.4572,7.2773,322.993,533.5228,4.4601
6.02,240.0875,14134.7504,4.8277,331.3841,443.4682,2.8107
9.6482,215.1665,21831.9711,5.2635,144.4595,478.3855,5.5958
7.6075,280.0837,5136.7884,7.1956,360.5285,531.3537,1.9893
5.1087,50.0,24825.98,9.2079,234.4241,421.7511,3.0322
8.3768,254.23,22385.2677,6.4874,251.3738,445.3562,6.0126
10.1832,147.6739,25109.2813,6.5282,480.0,484.8022,3.4778
8.5487,53.5494,28464.9466,6.1862,304.1499,362.0111,2.4221
4.7209,240.8962,22940.9587,5.9305,249.0942,424.3241,4.2629
6.2736,309.8927,21184.7154,7.5899,103.5765,430.0439,3.4295
8.9004,189.0041,12951.4533,4.0055,391.1811,343.5153,2.997
5.9385,276.23,14302.2339,9.5619,172.3832,605.4109,2.685
7.6657,328.9823,29493.877,5.6692,199.7249,307.4165,7.322
8.162,305.1932,31490.6832,8.4438,253.4918,316.1517,3.6981
5.6096,331.1972,18095.1165,4.46,393.3129,525.1381,1.6893
6.9107,259.3702,20368.022,8.3377,341.8592,477.0613,5.7925
4.0,206.0347,12763.085,8.3439,267.373,337.9228,4.7333
5.4634,71.8427,29382.0548,7.7684,304.6634,468.5831,3.0802
6.6211,180.315,25323.3346,5.0111,231.9691,537.428,2.8803
5.1283,132.5403,35529.7395,7.4991,291.1723,417.579,4.8082
9.4486,373.6754,12973.4154,4.6339,285.8669,627.9058,3.7037
4.8548,185.9291,16975.9368,6.4945,357.5016,282.0751,1.6888
6.3399,209.8564,21851.5674,9.0588,357.3742,475.5059,6.1447
7.1961,244.1188,25171.9163,8.5934,319.5182,513.3223,3.4792
9.1619,203.4882,18274.6589,7.0304,251.0122,491.3075,5.7947
4.8462,335.6041,13016.3113,5.0504,339.3458,403.6515,5.5341
8.7447,150.1881,27051.2602,8.2912,272.6425,396.7647,2.7988
7.0153,215.5686,25769.0829,7.0388,193.4469,455.5316,5.2398
5.5277,140.6024,12669.8072,2.3594,247.737,485.2604,3.2183
7.6932,94.3982,30843.5424,8.5653,286.7622,468.1979,1.76
7.2986,151.0585,29361.5897,6.9515,352.8173,503.2046,3.4905
6.0997,197.0371,21074.372,9.4049,265.3177,338.4904,4.4772
7.1047,165.6558,20636.7829,4.8095,183.2641,401.7783,3.4447
6.422,144.6063,24432.4622,1.0,284.5393,344.7987,3.6315
7.1703,87.4946,13106.3754,7.5582,289.0765,389.111,5.3723
7.9932,193.3516,20240.2518,7.5831,294.867,501.2177,4.1278
9.379,79.6224,2780.9316,3.6187,353.5897,428.6387,2.988
5.1433,260.8045,27011.6452,5.043,361.5139,628.5487,4.8424
10.1996,206.5952,7508.0542,12.5104,232.4631,435.4725,4.2372
4.0719,83.3959,32027.3586,6.3888,230.7085,424.7754,1.0
6.7723,175.2633,17359.0392,8.4619,196.7841,428.4946,4.514
7.8825,139.8275,18306.6641,5.6987,335.9053,368.9753,4.4702
7.4215,225.534,14978.1288,2.8194,395.9056,415.3731,4.0241
6.066,307.236,17695.689,6.6595,254.7934,510.223,5.07
6.6878,50.0,31348.2508,6.4688,260.6856,429.1177,3.1931
6.2605,209.2021,500.0,6.2002,397.3426,356.5232,4.4038
6.116,187.1894,30215.7231,6.7707,320.4446,345.9932,2.1196
8.2744,253.7072,22704.1878,7.5285,314.8989,383.9838,4.4885
7.5355,217.0557,10343.8268,6.6998,184.7267,425.9091,6.3437
5.9606,139.8425,11397.5009,4.472,334.2982,515.4869,2.8062
8.3494,174.4757,33411.1442,7.9724,205.6691,312.7609,3.0882
7.4609,136.3179,12435.945,3.1013,189.2784,394.4139,3.148
8.2193,286.0806,10773.1959,2.8993,252.2583,431.5448,4.156
7.9444,201.7049,29098.5163,8.4784,233.1366,273.3035,2.7244
5.7565,352.0953,22708.423,8.014,262.272,353.3121,4.5055
6.1597,195.1471,12496.5954,6.8852,164.7215,365.6089,5.0162
8.1209,143.3275,21732.9998,4.2091,356.7053,356.3224,4.6412
7.9156,78.9028,11793.9785,5.5842,370.2149,435.3512,1.8779
6.9686,55.7488,28806.5712,6.4745,124.2126,407.1552,5.1942
7.176,73.2691,28490.9677,3.8082,358.2766,375.5771,5.1248
8.9165,221.3701,24256.0496,5.5219,215.1577,454.237,4.9962
6.1126,240.698,22893.2885,8.3047,348.558,557.846,4.4474
7.8206,73.5047,34089.505,9.8546,274.5243,551.1405,4.2642
6.6967,271.6031,19997.4906,6.1611,282.302,266.1783,5.2389
6.6735,161.3551,10545.007,8.513,265.1922,466.1658,6.3082
8.6482,211.7434,23595.7913,3.1719,376.9703,405.7581,2.8564
8.2381,328.9777,36688.3764,8.3189,180.833,432.4124,5.2938
8.2203,271.7471,11881.9241,5.3921,328.6272,388.1374,3.8965
8.9582,178.5175,17108.2979,7.6147,368.1064,429.4071,3.8444
7.0315,128.7046,23331.5683,6.5045,337.3072,432.1126,2.1562
8.0229,50.0,19568.7612,9.6408,465.9759,373.6839,3.6583
6.5346,142.4677,12141.5714,5.2511,237.6843,348.2906,2.8033
7.4862,183.1096,28974.8628,8.2552,356.5844,384.1043,3.4434
6.8048,121.0256,38560.3258,6.441,271.5127,438.7407,2.6822
7.1455,189.4994,21569.0517,6.6834,378.6725,467.9197,3.4613
7.8927,206.1482,12767.4537,6.6323,279.3849,488.2679,3.5127
5.7727,182.0115,7608.3158,5.3087,248.9699,380.4648,4.1161
10.1386,147.9998,22063.8078,6.9718,384.4858,442.7076,2.0623
5.491,213.4924,28831.0187,6.8747,240.675,497.0002,2.2654
5.1787,235.3553,23801.342,7.4825,166.9819,513.2476,4.4343
8.7372,112.7681,19980.7693,7.169,238.6522,415.2934,3.0431
8.1875,312.8746,15285.8268,8.596,329.5226,402.3255,5.2894
7.9362,192.1129,11262.6909,8.847,391.3631,435.2899,4.2703
7.9425,201.508,26678.0106,4.8988,288.8904,328.0234,4.7281
6.9816,256.6572,27310.173,8.7375,385.4558,404.5112,5.6928
5.6541,218.6573,7634.1617,4.6273,171.346,479.5669,3.6283
7.1137,276.2509,32718.7118,8.1757,244.5389,471.3558,3.3106
5.9843,222.9699,24592.5698,8.2395,256.914,398.3786,5.046
8.4627,151.005,31196.7572,3.1774,270.8352,437.4175,4.6114
6.7794,228.9203,9262.978,7.186,286.7276,354.028,3.7752
5.7618,108.5019,9073.4068,6.063,335.2729,476.2794,5.6697
6.5179,208.6848,18808.2455,5.4825,244.4155,413.7743,3.7453
7.6194,197.3416,24022.2754,9.7017,291.1223,397.9239,4.0393
6.1544,183.3507,34370.8866,5.6926,276.3902,391.0621,4.0255
5.7667,189.717,25648.6313,5.3872,205.9288,414.9685,2.8785
7.3655,50.0,18058.5498,7.1514,270.9067,384.1698,4.0931
7.3674,156.102,11789.0463,8.3712,268.5072,472.6514,5.6761
6.2396,207.4276,29840.0046,6.7167,266.7936,388.3773,4.534
6.2934,212.7885,12282.3566,9.3327,282.5408,547.4371,4.0373
7.3481,117.786,33027.7484,8.062,286.0539,537.2168,3.8059
4.8279,301.2566,17724.9228,2.6436,245.4164,348.6765,4.397
4.8888,130.706,32724.6566,5.9411,381.8172,425.5763,4.8997
5.9223,277.5566,25431.4503,5.8763,186.4415,367.9475,4.7311
6.6798,234.1755,18904.0361,7.9587,222.3224,393.8682,3.6018
7.4664,148.3018,15844.829,1.7504,480.0,580.1942,4.3897
9.213,342.0249,17272.737,12.098,196.9607,395.3943,4.5759
8.2865,104.5091,23426.5335,8.0621,171.6996,448.8181,2.7914
6.7601,273.5323,20617.252,7.2978,338.7581,463.3057,4.2019
6.9715,280.0466,15249.5087,9.3631,113.8304,339.9497,1.4064
5.4962,146.3504,18674.9487,11.6873,261.1781,351.5924,4.579
6.9722,311.3972,20628.6162,8.7415,451.666,323.5182,4.7924
6.567,179.9963,2970.1272,8.8976,156.4051,349.1223,4.8971
7.4841,223.0955,23665.3449,7.2614,121.4428,200.0,3.5259
5.7592,220.8257,12162.2302,6.7169,160.0655,463.5666,4.3709
7.779,189.2553,10773.3408,6.0484,351.8688,584.3355,5.7087
9.2991,264.8647,6501.2452,5.3478,369.9821,431.8257,5.6965
6.8369,263.4791,5648.86,5.626,238.9929,306.6985,3.965
7.6026,60.1174,9156.42,4.2989,334.657,368.5779,4.1672
8.0352,304.3472,14327.8323,6.8483,391.2204,383.2899,5.3331
6.3982,67.0006,35626.0731,3.6307,422.9877,338.5932,2.199
7.3361,282.6037,15792.9626,7.3818,260.2932,488.8146,3.6123
7.0189,290.1364,21422.0009,6.9273,100.0,484.8208,5.6027
